,map,time,hour,weekday,week,timegroup,timegroupstr,date,inflow_counts,outflow_counts,loop_counts
0,2019-01-01 00,2019-01-01 00:00:00,0,Tuesday,1,2,12am - 4am,2019-01-01,0.0,0.0,0.0
1,2019-01-01 01,2019-01-01 01:00:00,1,Tuesday,1,2,12am - 4am,2019-01-01,0.0,0.0,0.0
2,2019-01-01 02,2019-01-01 02:00:00,2,Tuesday,1,2,12am - 4am,2019-01-01,0.0,0.0,0.0
3,2019-01-01 03,2019-01-01 03:00:00,3,Tuesday,1,2,12am - 4am,2019-01-01,0.0,0.0,0.0
4,2019-01-01 04,2019-01-01 04:00:00,4,Tuesday,1,0,daytime,2019-01-01,0.0,0.0,0.0
5,2019-01-01 05,2019-01-01 05:00:00,5,Tuesday,1,0,daytime,2019-01-01,0.0,0.0,0.0
6,2019-01-01 06,2019-01-01 06:00:00,6,Tuesday,1,0,daytime,2019-01-01,0.0,0.0,0.0
7,2019-01-01 07,2019-01-01 07:00:00,7,Tuesday,1,0,daytime,2019-01-01,0.0,0.0,0.0
8,2019-01-01 08,2019-01-01 08:00:00,8,Tuesday,1,0,daytime,2019-01-01,0.0,0.0,0.0
9,2019-01-01 09,2019-01-01 09:00:00,9,Tuesday,1,0,daytime,2019-01-01,0.0,0.0,0.0
10,2019-01-01 10,2019-01-01 10:00:00,10,Tuesday,1,0,daytime,2019-01-01,0.0,0.0,0.0
11,2019-01-01 11,2019-01-01 11:00:00,11,Tuesday,1,0,daytime,2019-01-01,0.0,0.0,0.0
12,2019-01-01 12,2019-01-01 12:00:00,12,Tuesday,1,0,daytime,2019-01-01,0.0,0.0,0.0
13,2019-01-01 13,2019-01-01 13:00:00,13,Tuesday,1,0,daytime,2019-01-01,7.0,4.0,0.0
14,2019-01-01 14,2019-01-01 14:00:00,14,Tuesday,1,0,daytime,2019-01-01,11.0,3.0,0.0
15,2019-01-01 15,2019-01-01 15:00:00,15,Tuesday,1,0,daytime,2019-01-01,18.0,16.0,0.0
16,2019-01-01 16,2019-01-01 16:00:00,16,Tuesday,1,0,daytime,2019-01-01,13.0,12.0,3.0
17,2019-01-01 17,2019-01-01 17:00:00,17,Tuesday,1,0,daytime,2019-01-01,9.0,5.0,0.0
18,2019-01-01 18,2019-01-01 18:00:00,18,Tuesday,1,0,daytime,2019-01-01,19.0,4.0,0.0
19,2019-01-01 19,2019-01-01 19:00:00,19,Tuesday,1,0,daytime,2019-01-01,13.0,6.0,0.0
20,2019-01-01 20,2019-01-01 20:00:00,20,Tuesday,1,1,8pm - 12am,2019-01-01,6.0,6.0,0.0
21,2019-01-01 21,2019-01-01 21:00:00,21,Tuesday,1,1,8pm - 12am,2019-01-01,1.0,7.0,1.0
22,2019-01-01 22,2019-01-01 22:00:00,22,Tuesday,1,1,8pm - 12am,2019-01-01,1.0,6.0,1.0
23,2019-01-01 23,2019-01-01 23:00:00,23,Tuesday,1,1,8pm - 12am,2019-01-01,1.0,3.0,0.0
24,2019-01-02 00,2019-01-02 00:00:00,0,Wednesday,1,2,12am - 4am,2019-01-02,0.0,3.0,0.0
25,2019-01-02 01,2019-01-02 01:00:00,1,Wednesday,1,2,12am - 4am,2019-01-02,0.0,0.0,0.0
26,2019-01-02 02,2019-01-02 02:00:00,2,Wednesday,1,2,12am - 4am,2019-01-02,0.0,1.0,0.0
27,2019-01-02 03,2019-01-02 03:00:00,3,Wednesday,1,2,12am - 4am,2019-01-02,0.0,0.0,0.0
28,2019-01-02 04,2019-01-02 04:00:00,4,Wednesday,1,0,daytime,2019-01-02,0.0,1.0,0.0
29,2019-01-02 05,2019-01-02 05:00:00,5,Wednesday,1,0,daytime,2019-01-02,14.0,1.0,0.0
30,2019-01-02 06,2019-01-02 06:00:00,6,Wednesday,1,0,daytime,2019-01-02,44.0,9.0,1.0
31,2019-01-02 07,2019-01-02 07:00:00,7,Wednesday,1,0,daytime,2019-01-02,86.0,43.0,4.0
32,2019-01-02 08,2019-01-02 08:00:00,8,Wednesday,1,0,daytime,2019-01-02,145.0,53.0,3.0
33,2019-01-02 09,2019-01-02 09:00:00,9,Wednesday,1,0,daytime,2019-01-02,84.0,53.0,3.0
34,2019-01-02 10,2019-01-02 10:00:00,10,Wednesday,1,0,daytime,2019-01-02,32.0,25.0,2.0
35,2019-01-02 11,2019-01-02 11:00:00,11,Wednesday,1,0,daytime,2019-01-02,16.0,17.0,3.0
36,2019-01-02 12,2019-01-02 12:00:00,12,Wednesday,1,0,daytime,2019-01-02,25.0,30.0,0.0
37,2019-01-02 13,2019-01-02 13:00:00,13,Wednesday,1,0,daytime,2019-01-02,30.0,29.0,0.0
38,2019-01-02 14,2019-01-02 14:00:00,14,Wednesday,1,0,daytime,2019-01-02,23.0,33.0,2.0
39,2019-01-02 15,2019-01-02 15:00:00,15,Wednesday,1,0,daytime,2019-01-02,18.0,36.0,6.0
40,2019-01-02 16,2019-01-02 16:00:00,16,Wednesday,1,0,daytime,2019-01-02,18.0,63.0,2.0
41,2019-01-02 17,2019-01-02 17:00:00,17,Wednesday,1,0,daytime,2019-01-02,31.0,93.0,2.0
42,2019-01-02 18,2019-01-02 18:00:00,18,Wednesday,1,0,daytime,2019-01-02,34.0,78.0,0.0
43,2019-01-02 19,2019-01-02 19:00:00,19,Wednesday,1,0,daytime,2019-01-02,11.0,24.0,1.0
44,2019-01-02 20,2019-01-02 20:00:00,20,Wednesday,1,1,8pm - 12am,2019-01-02,10.0,18.0,4.0
45,2019-01-02 21,2019-01-02 21:00:00,21,Wednesday,1,1,8pm - 12am,2019-01-02,6.0,7.0,0.0
46,2019-01-02 22,2019-01-02 22:00:00,22,Wednesday,1,1,8pm - 12am,2019-01-02,6.0,4.0,0.0
47,2019-01-02 23,2019-01-02 23:00:00,23,Wednesday,1,1,8pm - 12am,2019-01-02,1.0,2.0,0.0
48,2019-01-03 00,2019-01-03 00:00:00,0,Thursday,1,2,12am - 4am,2019-01-03,2.0,3.0,0.0
49,2019-01-03 01,2019-01-03 01:00:00,1,Thursday,1,2,12am - 4am,2019-01-03,1.0,0.0,0.0
50,2019-01-03 02,2019-01-03 02:00:00,2,Thursday,1,2,12am - 4am,2019-01-03,1.0,0.0,0.0
51,2019-01-03 03,2019-01-03 03:00:00,3,Thursday,1,2,12am - 4am,2019-01-03,0.0,0.0,0.0
52,2019-01-03 04,2019-01-03 04:00:00,4,Thursday,1,0,daytime,2019-01-03,0.0,0.0,0.0
53,2019-01-03 05,2019-01-03 05:00:00,5,Thursday,1,0,daytime,2019-01-03,10.0,2.0,0.0
54,2019-01-03 06,2019-01-03 06:00:00,6,Thursday,1,0,daytime,2019-01-03,52.0,9.0,0.0
55,2019-01-03 07,2019-01-03 07:00:00,7,Thursday,1,0,daytime,2019-01-03,97.0,45.0,23.0
56,2019-01-03 08,2019-01-03 08:00:00,8,Thursday,1,0,daytime,2019-01-03,172.0,59.0,3.0
57,2019-01-03 09,2019-01-03 09:00:00,9,Thursday,1,0,daytime,2019-01-03,105.0,47.0,1.0
58,2019-01-03 10,2019-01-03 10:00:00,10,Thursday,1,0,daytime,2019-01-03,31.0,23.0,2.0
59,2019-01-03 11,2019-01-03 11:00:00,11,Thursday,1,0,daytime,2019-01-03,24.0,24.0,4.0
60,2019-01-03 12,2019-01-03 12:00:00,12,Thursday,1,0,daytime,2019-01-03,29.0,32.0,1.0
61,2019-01-03 13,2019-01-03 13:00:00,13,Thursday,1,0,daytime,2019-01-03,22.0,26.0,2.0
62,2019-01-03 14,2019-01-03 14:00:00,14,Thursday,1,0,daytime,2019-01-03,30.0,47.0,1.0
63,2019-01-03 15,2019-01-03 15:00:00,15,Thursday,1,0,daytime,2019-01-03,22.0,27.0,3.0
64,2019-01-03 16,2019-01-03 16:00:00,16,Thursday,1,0,daytime,2019-01-03,20.0,69.0,1.0
65,2019-01-03 17,2019-01-03 17:00:00,17,Thursday,1,0,daytime,2019-01-03,31.0,154.0,4.0
66,2019-01-03 18,2019-01-03 18:00:00,18,Thursday,1,0,daytime,2019-01-03,44.0,89.0,4.0
67,2019-01-03 19,2019-01-03 19:00:00,19,Thursday,1,0,daytime,2019-01-03,20.0,32.0,2.0
68,2019-01-03 20,2019-01-03 20:00:00,20,Thursday,1,1,8pm - 12am,2019-01-03,7.0,12.0,0.0
69,2019-01-03 21,2019-01-03 21:00:00,21,Thursday,1,1,8pm - 12am,2019-01-03,5.0,5.0,0.0
70,2019-01-03 22,2019-01-03 22:00:00,22,Thursday,1,1,8pm - 12am,2019-01-03,2.0,1.0,0.0
71,2019-01-03 23,2019-01-03 23:00:00,23,Thursday,1,1,8pm - 12am,2019-01-03,3.0,2.0,0.0
72,2019-01-04 00,2019-01-04 00:00:00,0,Friday,1,2,12am - 4am,2019-01-04,2.0,3.0,0.0
73,2019-01-04 01,2019-01-04 01:00:00,1,Friday,1,2,12am - 4am,2019-01-04,2.0,1.0,0.0
74,2019-01-04 02,2019-01-04 02:00:00,2,Friday,1,2,12am - 4am,2019-01-04,0.0,0.0,0.0
75,2019-01-04 03,2019-01-04 03:00:00,3,Friday,1,2,12am - 4am,2019-01-04,1.0,3.0,0.0
76,2019-01-04 04,2019-01-04 04:00:00,4,Friday,1,0,daytime,2019-01-04,4.0,0.0,0.0
77,2019-01-04 05,2019-01-04 05:00:00,5,Friday,1,0,daytime,2019-01-04,9.0,1.0,0.0
78,2019-01-04 06,2019-01-04 06:00:00,6,Friday,1,0,daytime,2019-01-04,56.0,10.0,2.0
79,2019-01-04 07,2019-01-04 07:00:00,7,Friday,1,0,daytime,2019-01-04,77.0,48.0,13.0
80,2019-01-04 08,2019-01-04 08:00:00,8,Friday,1,0,daytime,2019-01-04,173.0,66.0,2.0
81,2019-01-04 09,2019-01-04 09:00:00,9,Friday,1,0,daytime,2019-01-04,101.0,36.0,4.0
82,2019-01-04 10,2019-01-04 10:00:00,10,Friday,1,0,daytime,2019-01-04,41.0,16.0,0.0
83,2019-01-04 11,2019-01-04 11:00:00,11,Friday,1,0,daytime,2019-01-04,23.0,30.0,1.0
84,2019-01-04 12,2019-01-04 12:00:00,12,Friday,1,0,daytime,2019-01-04,24.0,46.0,3.0
85,2019-01-04 13,2019-01-04 13:00:00,13,Friday,1,0,daytime,2019-01-04,35.0,38.0,3.0
86,2019-01-04 14,2019-01-04 14:00:00,14,Friday,1,0,daytime,2019-01-04,25.0,53.0,3.0
87,2019-01-04 15,2019-01-04 15:00:00,15,Friday,1,0,daytime,2019-01-04,21.0,38.0,1.0
88,2019-01-04 16,2019-01-04 16:00:00,16,Friday,1,0,daytime,2019-01-04,14.0,76.0,1.0
89,2019-01-04 17,2019-01-04 17:00:00,17,Friday,1,0,daytime,2019-01-04,20.0,124.0,1.0
90,2019-01-04 18,2019-01-04 18:00:00,18,Friday,1,0,daytime,2019-01-04,28.0,41.0,0.0
91,2019-01-04 19,2019-01-04 19:00:00,19,Friday,1,0,daytime,2019-01-04,19.0,15.0,1.0
92,2019-01-04 20,2019-01-04 20:00:00,20,Friday,1,1,8pm - 12am,2019-01-04,5.0,8.0,0.0
93,2019-01-04 21,2019-01-04 21:00:00,21,Friday,1,1,8pm - 12am,2019-01-04,7.0,8.0,0.0
94,2019-01-04 22,2019-01-04 22:00:00,22,Friday,1,1,8pm - 12am,2019-01-04,10.0,4.0,0.0
95,2019-01-04 23,2019-01-04 23:00:00,23,Friday,1,1,8pm - 12am,2019-01-04,2.0,7.0,0.0
96,2019-01-05 00,2019-01-05 00:00:00,0,Saturday,1,2,12am - 4am,2019-01-05,4.0,3.0,0.0
97,2019-01-05 01,2019-01-05 01:00:00,1,Saturday,1,2,12am - 4am,2019-01-05,1.0,0.0,0.0
98,2019-01-05 02,2019-01-05 02:00:00,2,Saturday,1,2,12am - 4am,2019-01-05,0.0,0.0,0.0
99,2019-01-05 03,2019-01-05 03:00:00,3,Saturday,1,2,12am - 4am,2019-01-05,0.0,0.0,0.0
100,2019-01-05 04,2019-01-05 04:00:00,4,Saturday,1,0,daytime,2019-01-05,0.0,0.0,0.0
101,2019-01-05 05,2019-01-05 05:00:00,5,Saturday,1,0,daytime,2019-01-05,0.0,1.0,0.0
102,2019-01-05 06,2019-01-05 06:00:00,6,Saturday,1,0,daytime,2019-01-05,4.0,2.0,0.0
103,2019-01-05 07,2019-01-05 07:00:00,7,Saturday,1,0,daytime,2019-01-05,1.0,1.0,0.0
104,2019-01-05 08,2019-01-05 08:00:00,8,Saturday,1,0,daytime,2019-01-05,2.0,0.0,0.0
105,2019-01-05 09,2019-01-05 09:00:00,9,Saturday,1,0,daytime,2019-01-05,6.0,3.0,1.0
106,2019-01-05 10,2019-01-05 10:00:00,10,Saturday,1,0,daytime,2019-01-05,17.0,4.0,0.0
107,2019-01-05 11,2019-01-05 11:00:00,11,Saturday,1,0,daytime,2019-01-05,7.0,8.0,0.0
108,2019-01-05 12,2019-01-05 12:00:00,12,Saturday,1,0,daytime,2019-01-05,12.0,7.0,1.0
109,2019-01-05 13,2019-01-05 13:00:00,13,Saturday,1,0,daytime,2019-01-05,14.0,6.0,0.0
110,2019-01-05 14,2019-01-05 14:00:00,14,Saturday,1,0,daytime,2019-01-05,10.0,23.0,0.0
111,2019-01-05 15,2019-01-05 15:00:00,15,Saturday,1,0,daytime,2019-01-05,5.0,9.0,0.0
112,2019-01-05 16,2019-01-05 16:00:00,16,Saturday,1,0,daytime,2019-01-05,8.0,4.0,0.0
113,2019-01-05 17,2019-01-05 17:00:00,17,Saturday,1,0,daytime,2019-01-05,4.0,7.0,0.0
