,map,time,hour,weekday,week,timegroup,timegroupstr,date,inflow_counts,outflow_counts,loop_counts
0,2019-01-01 00,2019-01-01 00:00:00,0,Tuesday,1,2,12am - 4am,2019-01-01,535.0,756.0,62.0
1,2019-01-01 01,2019-01-01 01:00:00,1,Tuesday,1,2,12am - 4am,2019-01-01,1056.0,1026.0,125.0
2,2019-01-01 02,2019-01-01 02:00:00,2,Tuesday,1,2,12am - 4am,2019-01-01,1131.0,1097.0,112.0
3,2019-01-01 03,2019-01-01 03:00:00,3,Tuesday,1,2,12am - 4am,2019-01-01,1012.0,1073.0,95.0
4,2019-01-01 04,2019-01-01 04:00:00,4,Tuesday,1,0,daytime,2019-01-01,833.0,740.0,74.0
5,2019-01-01 05,2019-01-01 05:00:00,5,Tuesday,1,0,daytime,2019-01-01,511.0,404.0,36.0
6,2019-01-01 06,2019-01-01 06:00:00,6,Tuesday,1,0,daytime,2019-01-01,285.0,268.0,31.0
7,2019-01-01 07,2019-01-01 07:00:00,7,Tuesday,1,0,daytime,2019-01-01,206.0,213.0,20.0
8,2019-01-01 08,2019-01-01 08:00:00,8,Tuesday,1,0,daytime,2019-01-01,135.0,198.0,14.0
9,2019-01-01 09,2019-01-01 09:00:00,9,Tuesday,1,0,daytime,2019-01-01,115.0,160.0,8.0
10,2019-01-01 10,2019-01-01 10:00:00,10,Tuesday,1,0,daytime,2019-01-01,122.0,207.0,14.0
11,2019-01-01 11,2019-01-01 11:00:00,11,Tuesday,1,0,daytime,2019-01-01,156.0,215.0,13.0
12,2019-01-01 12,2019-01-01 12:00:00,12,Tuesday,1,0,daytime,2019-01-01,178.0,224.0,19.0
13,2019-01-01 13,2019-01-01 13:00:00,13,Tuesday,1,0,daytime,2019-01-01,177.0,286.0,23.0
14,2019-01-01 14,2019-01-01 14:00:00,14,Tuesday,1,0,daytime,2019-01-01,224.0,238.0,30.0
15,2019-01-01 15,2019-01-01 15:00:00,15,Tuesday,1,0,daytime,2019-01-01,232.0,275.0,20.0
16,2019-01-01 16,2019-01-01 16:00:00,16,Tuesday,1,0,daytime,2019-01-01,244.0,291.0,23.0
17,2019-01-01 17,2019-01-01 17:00:00,17,Tuesday,1,0,daytime,2019-01-01,283.0,305.0,25.0
18,2019-01-01 18,2019-01-01 18:00:00,18,Tuesday,1,0,daytime,2019-01-01,283.0,273.0,29.0
19,2019-01-01 19,2019-01-01 19:00:00,19,Tuesday,1,0,daytime,2019-01-01,291.0,286.0,29.0
20,2019-01-01 20,2019-01-01 20:00:00,20,Tuesday,1,1,8pm - 12am,2019-01-01,326.0,258.0,29.0
21,2019-01-01 21,2019-01-01 21:00:00,21,Tuesday,1,1,8pm - 12am,2019-01-01,324.0,262.0,22.0
22,2019-01-01 22,2019-01-01 22:00:00,22,Tuesday,1,1,8pm - 12am,2019-01-01,312.0,194.0,24.0
23,2019-01-01 23,2019-01-01 23:00:00,23,Tuesday,1,1,8pm - 12am,2019-01-01,300.0,176.0,21.0
24,2019-01-02 00,2019-01-02 00:00:00,0,Wednesday,1,2,12am - 4am,2019-01-02,257.0,158.0,17.0
25,2019-01-02 01,2019-01-02 01:00:00,1,Wednesday,1,2,12am - 4am,2019-01-02,142.0,99.0,16.0
26,2019-01-02 02,2019-01-02 02:00:00,2,Wednesday,1,2,12am - 4am,2019-01-02,84.0,74.0,5.0
27,2019-01-02 03,2019-01-02 03:00:00,3,Wednesday,1,2,12am - 4am,2019-01-02,59.0,44.0,6.0
28,2019-01-02 04,2019-01-02 04:00:00,4,Wednesday,1,0,daytime,2019-01-02,61.0,68.0,11.0
29,2019-01-02 05,2019-01-02 05:00:00,5,Wednesday,1,0,daytime,2019-01-02,37.0,105.0,1.0
30,2019-01-02 06,2019-01-02 06:00:00,6,Wednesday,1,0,daytime,2019-01-02,62.0,164.0,8.0
31,2019-01-02 07,2019-01-02 07:00:00,7,Wednesday,1,0,daytime,2019-01-02,131.0,195.0,8.0
32,2019-01-02 08,2019-01-02 08:00:00,8,Wednesday,1,0,daytime,2019-01-02,158.0,216.0,11.0
33,2019-01-02 09,2019-01-02 09:00:00,9,Wednesday,1,0,daytime,2019-01-02,167.0,201.0,22.0
34,2019-01-02 10,2019-01-02 10:00:00,10,Wednesday,1,0,daytime,2019-01-02,142.0,152.0,10.0
35,2019-01-02 11,2019-01-02 11:00:00,11,Wednesday,1,0,daytime,2019-01-02,172.0,174.0,16.0
