Booth,Stop Name,location_id,zone,borough
A002,Lexington Av/59 St,237,Upper East Side South,Manhattan
A004,Lexington Av/59 St,237,Upper East Side South,Manhattan
N601,Lexington Av/63 St,237,Upper East Side South,Manhattan
R244,59 St,237,Upper East Side South,Manhattan
R244A,59 St,237,Upper East Side South,Manhattan
R245,59 St,237,Upper East Side South,Manhattan
R245A,59 St,237,Upper East Side South,Manhattan
R246,68 St - Hunter College,237,Upper East Side South,Manhattan
R247,77 St,237,Upper East Side South,Manhattan
R248,77 St,237,Upper East Side South,Manhattan
A006,5 Av/59 St,43,Central Park,Manhattan
A007,5 Av/59 St,43,Central Park,Manhattan
N037,103 St,43,Central Park,Manhattan
N039,96 St,43,Central Park,Manhattan
N040,96 St,43,Central Park,Manhattan
N042,86 St,43,Central Park,Manhattan
N043,86 St,43,Central Park,Manhattan
N044,81 St - Museum of Natural History,43,Central Park,Manhattan
N045,81 St - Museum of Natural History,43,Central Park,Manhattan
N046,72 St,43,Central Park,Manhattan
A010,57 St - 7 Av,163,Midtown North,Manhattan
A011,57 St - 7 Av,163,Midtown North,Manhattan
N600,57 St,163,Midtown North,Manhattan
A013,49 St,230,Times Sq/Theatre District,Manhattan
A014,49 St,230,Times Sq/Theatre District,Manhattan
A015,49 St,230,Times Sq/Theatre District,Manhattan
A016,49 St,230,Times Sq/Theatre District,Manhattan
N060,42 St - Port Authority Bus Terminal,230,Times Sq/Theatre District,Manhattan
N062,42 St - Port Authority Bus Terminal,230,Times Sq/Theatre District,Manhattan
N062A,42 St - Port Authority Bus Terminal,230,Times Sq/Theatre District,Manhattan
N063,42 St - Port Authority Bus Terminal,230,Times Sq/Theatre District,Manhattan
N063A,42 St - Port Authority Bus Terminal,230,Times Sq/Theatre District,Manhattan
N300,7 Av,230,Times Sq/Theatre District,Manhattan
N301,7 Av,230,Times Sq/Theatre District,Manhattan
N500,47-50 Sts - Rockefeller Ctr,230,Times Sq/Theatre District,Manhattan
N501,47-50 Sts - Rockefeller Ctr,230,Times Sq/Theatre District,Manhattan
N501A,47-50 Sts - Rockefeller Ctr,230,Times Sq/Theatre District,Manhattan
R154,50 St,230,Times Sq/Theatre District,Manhattan
R155,50 St,230,Times Sq/Theatre District,Manhattan
A021,Times Sq - 42 St,100,Garment District,Manhattan
N065,34 St - Penn Station,100,Garment District,Manhattan
N067,34 St - Penn Station,100,Garment District,Manhattan
N068,34 St - Penn Station,100,Garment District,Manhattan
N069,34 St - Penn Station,100,Garment District,Manhattan
N070,34 St - Penn Station,100,Garment District,Manhattan
N071,34 St - Penn Station,100,Garment District,Manhattan
N072,34 St - Penn Station,100,Garment District,Manhattan
N073,34 St - Penn Station,100,Garment District,Manhattan
N502,42 St - Bryant Pk,100,Garment District,Manhattan
N503,42 St - Bryant Pk,100,Garment District,Manhattan
N504,42 St - Bryant Pk,100,Garment District,Manhattan
